? FRESH PRODUCE,,,
Item,Quantity,Notes,Used In
Onions (yellow),1.5 kg bag,lasts both weeks,Everything uses onion
Avocados,4,,Chef Salad
Garlic (heads),2 heads,lasts both weeks,Everything uses garlic
Sweet Potatoe,2,,With Salmon
Mushrooms,1 pack (227g),,"Beef stir fry, burgers"
Rainbow/bell peppers,3-pack,,Stir fry
Lettuce (romaine or iceberg),,,"Wednesday salad, burger toppings"
Tomatoes,3 med sized,,"Chef Salad, burgers"
Ginger root,1 small piece,lasts both weeks,"Butter chicken, stir fry"
,,,
? PROTEINS,,,
Item,Quantity,Notes,Used In
Whole chickens,3,~2.5-2.7 kg each,"Break down Sunday. Breasts ? fried rice/salad, thighs ? butter chicken/alfredo"
Bacon,1 pack,,Pre cook for burgers and sandwiches
Ground beef,1 kg,,"All 8 burger patties made Sunday — 4 for this week, 4 frozen for Week 2"
Beef stir fry strips (sirloin/flank),700 g,,Saturday stir fry
Salmon fillets,4 fillets,~170 g each,Thursday salmon + roasted veg
,,,
? DAIRY & EGGS,,,
Item,Quantity,Notes,Used In
Eggs,1 dozen,,"Fried rice, general cooking"
Butter,454 g,lasts both weeks,"Butter chicken, alfredo, general"
Parmesan cheese (grated),1 container,lasts both weeks,Alfredo
Shredded cheddar cheese,1 bag (250g),,Burgers
Plain yogurt,1 tub (500g),,Butter chicken marinade
Salad dressing (your choice),1 bottle,if low,Wednesday salad
,,,
? FROZEN VEGETABLES,,,
Item,Quantity,Notes,Used In
Frozen broccoli,1 large bag (1kg),,Friday alfredo side
Frozen mixed vegetables,2 bags (2kg total),,Roasting side for burgers (Tue) + salmon (Thu). 1 bag per meal for 4 people.
Frozen stir fry vegetables,1 bag,,Saturday stir fry boost
Frozen corn,1 bag,lasts both weeks,Fried rice
,,,
? PANTRY / DRY GOODS,,,
Item,Quantity,Notes,Used In
Jasmine or long-grain rice,4 kg bag,lasts both weeks,"Fried rice, stir fry, butter chicken"
Penne pasta,1 box (900g),,Friday chicken alfredo
Soy sauce,1 bottle,if low,"Fried rice, stir fry"
Oyster sauce,1 bottle,if low,Stir fry
Chicken broth / stock,1 carton (900ml),,"Butter chicken, general cooking"
Cashues,,,Butter chicken
Canned crushed tomatoes,1 can (796ml),,Butter chicken
Tomato paste,1 small can,,Butter chicken
Alfredo sauce (jarred) or heavy cream,1 jar or 500ml cream,,Chicken alfredo — jarred saves time
Cooking oil (vegetable/canola),1 bottle,if low,"Frying, roasting"
Olive oil,1 bottle,if low,"Roasting veg, salads"
Burger buns,4 pack,,Tuesday burgers
Frozen french fries,1 large bag,,Monday fried rice night + Wednesday salad night
,,,
? SPICES & CONDIMENTS (check stock first),,,
Item,Quantity,Notes,Used In
Salt & pepper,,check stock,
Kasuri Methi,,check stock,Butter Chicken
Garlic powder,,check stock,Burger patties
Ginger Garlic Paste,,check stock,Butter Chicken
Onion powder,,check stock,
Cumin,,check stock,Butter chicken
Turmeric,,check stock,Butter chicken
Garam masala,,check stock,Butter chicken — the key spice
Chili powder / cayenne,,check stock,
Ketchup / mustard,,check stock,Burgers
